20,Damian,Volleth,19323.609375,3
19,Valene,Tarborn,31178.949219,3
18,Simonette,Oldacre,16441.619141,4
17,Kayla,Loughhead,18914.669922,4
16,Ardelis,Hedges,37430.230469,4
15,Cathi,Giacomoni,11967.070313,2
14,Buddy,Enticott,20534.669922,3
13,Kerwin,Custed,16182.610352,3
12,Ad,Belderfield,42643.921875,2
11,Maryann,Beavers,28920.130859,4
10,Ainslie,Pfeffer,34167.000000,3
9,Easter,Hardy-Piggin,8973.000000,1
8,Dennison,Ruggieri,40593.000000,4
7,Sayer,Orrick,45187.000000,3
6,Roderigo,Blum,44188.000000,5
5,Ansley,Kob,31880.000000,5
4,Brocky,Slinn,5929.000000,2
3,Alvan,Danet,39919.000000,1
2,Shem,Overil,39629.000000,1
1,Clementius,Ellor,23143.000000,3
